"Year","Week","SPEC_PROCESSED_NB","AH1N12009","AH3","ANOTSUBTYPED","AH1"
1998,15,1357,0,0,27,0
1998,16,1421,0,1,16,0
1998,17,1236,0,1,9,0
1998,18,1142,0,3,8,0
1998,19,1038,0,0,5,0
1998,20,938,0,0,2,0
1998,21,0,0,0,0,0
1998,22,0,0,0,0,0
1998,23,0,0,0,0,0
1998,24,0,0,0,0,0
1998,25,0,0,0,0,0
1998,26,0,0,0,0,0
1998,27,0,0,0,0,0
1998,28,0,0,0,0,0
1998,29,0,0,0,0,0
1998,30,0,0,0,0,0
1998,31,0,0,0,0,0
1998,32,0,0,0,0,0
1998,33,0,0,0,0,0
1998,34,0,0,0,0,0
1998,35,0,0,0,0,0
1998,36,0,0,0,0,0
1998,37,0,0,0,0,0
1998,38,0,0,0,0,0
1998,39,0,0,0,0,0
1998,40,1407,0,2,0,0
1998,41,1453,0,4,1,0
1998,42,1654,0,0,2,1
1998,43,1814,0,1,0,0
1998,44,2051,0,12,6,0
1998,45,2222,0,5,5,0
1998,46,2051,0,4,0,0
1998,47,1809,0,5,4,0
1998,48,2397,0,11,6,0
1998,49,2432,0,9,15,0
1998,50,2428,0,12,15,1
1998,51,2207,0,21,35,0
1998,52,2706,0,47,81,1
1999,1,3524,0,72,183,0
1999,2,3889,0,151,311,1
1999,3,4262,0,193,518,1
1999,4,5210,0,222,658,1
1999,5,6143,0,351,926,1
1999,6,6574,0,317,1134,2
1999,7,6723,0,262,1065,9
1999,8,6616,0,250,1052,1
1999,9,5933,0,184,868,1
1999,10,4289,0,137,528,2
1999,11,4014,0,100,346,5
1999,12,3242,0,78,264,1
1999,13,2712,0,42,121,0
1999,14,2222,0,27,110,1
1999,15,1721,0,15,75,1
